Mean seed weight	Mean percent shriveled seeds	Embryo ploidy
22	2	diploid
24	2	diploid
23	1	diploid
24	0	diploid
22	1	diploid
23	1	diploid
23	1	diploid
24	0	diploid
22	1	diploid
24	1	diploid
22	1	diploid
23	0	diploid
22	1	diploid
23	0	diploid
24	0	diploid
23	1	diploid
23	0	diploid
22	2	diploid
24	0	diploid
22	2	diploid
24	2	diploid
24	0	diploid
23	1	diploid
23	2	diploid
22	1	diploid
22	1	diploid
24	0	diploid
24	2	diploid
24	0	diploid
24	0	diploid
22	1	diploid
22	0	diploid
22	2	diploid
23	0	diploid
24	2	diploid
24	2	diploid
22	0	diploid
22	0	diploid
22	2	diploid
24	0	diploid
23	0	diploid
22	0	diploid
22	1	diploid
24	0	diploid
22	0	diploid
22	1	diploid
22	0	diploid
22	1	diploid
24	1	diploid
35	15	triploid
31	3	triploid
28	1	triploid
33	13	triploid
29	20	triploid
36	31	triploid
32	5	triploid
28	23	triploid
31	24	triploid
32	3	triploid
30	20	triploid
30	22	triploid
37	10	triploid
29	0	triploid
33	0	triploid
28	12	triploid
33	1	triploid
29	13	triploid
30	30	triploid
41	14	triploid
36	3	triploid
40	17	triploid
31	31	triploid
40	20	triploid
37	9	triploid
18	50	triploid
16	78	triploid
18	59	triploid
17	55	triploid
17	78	triploid
14	88	triploid
15	46	triploid
18	65	triploid
15	59	triploid
14	50	triploid
15	60	triploid
15	42	triploid
16	54	triploid
16	65	triploid
18	76	triploid
17	48	triploid
14	48	triploid
16	53	triploid
15	84	triploid
14	81	triploid
14	77	triploid
15	52	triploid
15	54	triploid
17	63	triploid
17	65	triploid
